date_parsed,program_title,station,top3_nonconf_min,all_nonconf_min,news_pressure_uncorrected,news_pressure_corrected,conflict_any,conflict_total_min,n_stories
2005-01-20,CBS Evening News,CBS,11.666666666666668,28.333333333333332,11.666666666666668,12.35294117647059,0.0,0.0,14.0
2005-01-21,ABC Evening News,ABC,5.833333333333334,28.333333333333336,5.833333333333334,6.176470588235294,0.0,0.0,17.0
2005-01-21,CBS Evening News,CBS,5.5,28.166666666666664,5.5,5.8579881656804735,0.0,0.0,18.0
2005-01-22,ABC Evening News,ABC,10.833333333333334,28.166666666666668,10.833333333333334,11.538461538461538,0.0,0.0,13.0
2005-01-22,CBS Evening News,CBS,8.5,28.333333333333332,8.5,9.0,0.0,0.0,18.0
2005-01-23,ABC Evening News,ABC,6.333333333333334,28.499999999999996,6.333333333333334,6.666666666666669,0.0,0.0,15.0
2005-01-24,ABC Evening News,ABC,11.0,28.333333333333336,11.0,11.647058823529411,0.0,0.0,15.0
2005-01-24,CBS Evening News,CBS,9.333333333333332,28.500000000000004,9.333333333333332,9.824561403508769,0.0,0.0,17.0
2005-01-25,ABC Evening News,ABC,11.333333333333334,28.333333333333332,11.333333333333334,12.0,0.0,0.0,16.0
2005-01-25,CBS Evening News,CBS,8.833333333333334,28.5,8.833333333333334,9.298245614035087,0.0,0.0,16.0
2005-01-26,ABC Evening News,ABC,11.833333333333332,28.0,11.833333333333332,12.678571428571427,0.0,0.0,16.0
2005-01-26,CBS Evening News,CBS,10.666666666666668,27.833333333333336,10.666666666666668,11.497005988023954,0.0,0.0,16.0
2005-01-27,ABC Evening News,ABC,9.166666666666668,28.33333333333334,9.166666666666668,9.705882352941176,0.0,0.0,14.0
2005-01-27,CBS Evening News,CBS,9.833333333333334,28.333333333333332,9.833333333333334,10.411764705882353,0.0,0.0,19.0
2005-01-28,ABC Evening News,ABC,10.333333333333334,28.166666666666668,10.333333333333334,11.005917159763314,0.0,0.0,14.0
2005-01-28,CBS Evening News,CBS,11.0,28.5,11.0,11.578947368421053,0.0,0.0,14.0
2005-01-29,ABC Evening News,ABC,7.333333333333333,27.66666666666667,7.333333333333333,7.951807228915661,1.0,0.5,16.0
